timestamp,bucket,notional,side
2026-04-15T19:45:45.686973,73800,73.86,SELL
2026-04-15T19:46:12.460782,74400,19593.18,BUY
2026-04-15T19:46:24.640767,74600,9686.91,BUY
2026-04-15T19:46:33.833284,74600,4322.35,BUY
2026-04-15T19:46:37.559160,74600,223.58,BUY
2026-04-15T19:46:40.268358,74600,1789.07,BUY
2026-04-15T19:46:47.547136,74600,7454.87,BUY
2026-04-15T19:46:50.751274,74600,95975.71,BUY
2026-04-15T19:47:09.173985,74600,2013.11,BUY
2026-04-15T19:47:10.312159,74600,7457.27,BUY
2026-04-15T19:47:20.625822,74600,173645.29,BUY
2026-04-15T19:47:21.633189,74600,746.05,BUY
2026-04-15T19:47:23.379686,74600,52457.86,BUY
2026-04-15T19:47:30.466357,74600,2537.29,BUY
2026-04-15T19:47:32.168645,74600,522.45,BUY
2026-04-15T19:53:04.323472,74000,296.26,SELL
2026-04-15T19:53:10.704794,74600,1417.77,BUY
2026-04-15T19:53:19.456739,74600,4478.39,BUY
2026-04-15T19:53:21.331446,74600,3583.16,BUY
2026-04-15T19:54:08.769520,74600,33584.62,BUY
2026-04-15T19:54:11.348057,74600,4106.46,BUY
2026-04-15T19:54:56.585877,74600,149.35,BUY
2026-04-15T19:54:57.787719,74600,1792.57,BUY
2026-04-15T19:54:59.166259,74600,28160.51,BUY
2026-04-15T19:55:27.168314,74800,8517.45,BUY
2026-04-15T19:55:28.176350,74800,3736.02,BUY
2026-04-15T19:55:29.274860,74800,10088.15,BUY
2026-04-15T19:55:30.300361,74800,28173.85,BUY
2026-04-15T19:55:31.801355,74800,672.68,BUY
2026-04-15T19:55:33.406101,74800,5979.67,BUY
2026-04-15T19:55:36.240317,74800,6353.67,BUY
2026-04-15T19:55:37.284468,74800,1644.47,BUY
2026-04-15T19:55:44.156060,74800,122367.06,BUY
2026-04-15T19:55:47.125083,74800,333079.41,BUY
2026-04-15T19:56:37.403837,74800,448.27,BUY
2026-04-15T19:57:11.521718,74800,822.32,BUY
2026-04-15T19:58:14.371666,74600,746.8,BUY
2026-04-15T19:58:40.375296,74600,126916.9,BUY
2026-04-15T20:00:16.160232,74600,448.01,BUY
2026-04-15T20:00:44.157345,74600,2986.11,BUY
2026-04-15T20:01:08.368329,74400,2680.56,BUY
2026-04-15T20:01:09.573699,74600,3132.02,BUY
2026-04-15T20:01:10.495267,74600,3949.45,BUY
2026-04-15T20:01:29.315485,74000,74.07,SELL
2026-04-15T20:01:31.896106,74600,74.62,BUY
2026-04-15T20:05:11.439400,74000,17372.09,SELL
2026-04-15T20:05:14.191890,74000,73.92,SELL
2026-04-15T20:08:37.242419,74000,1108.66,SELL
2026-04-15T20:08:41.336760,73800,17059.97,SELL
2026-04-15T20:08:42.516431,73800,2362.93,SELL
2026-04-15T20:08:46.661950,73800,4429.97,SELL
2026-04-15T20:09:00.317069,73800,295.21,SELL
2026-04-15T20:09:02.301136,73800,3247.0,SELL
2026-04-15T20:09:04.264870,73800,737.73,SELL
2026-04-15T20:09:08.551571,73800,1106.03,SELL
2026-04-15T20:09:09.816756,73800,73.72,SELL
2026-04-15T20:09:11.874454,73600,29770.88,SELL
2026-04-15T20:09:13.921338,73600,2800.07,SELL
2026-04-15T20:09:44.415700,73600,442.09,SELL
2026-04-15T20:13:38.525597,73600,515.62,SELL
2026-04-15T20:14:30.483055,73600,147.27,SELL
2026-04-15T20:14:35.157046,73600,1104.27,SELL
2026-04-15T20:14:36.390803,73600,2061.0,SELL
2026-04-15T20:20:12.370075,74400,59608.66,BUY
2026-04-15T20:20:13.476114,74400,2009.27,BUY
2026-04-15T20:20:16.182917,74400,1786.27,BUY
2026-04-15T20:20:28.136617,74400,148.91,BUY
2026-04-15T20:25:46.382360,74400,4096.96,BUY
2026-04-15T20:25:59.183181,74400,6630.06,BUY
2026-04-15T20:26:01.656710,74600,596.0,BUY
2026-04-15T20:26:04.262898,74600,521.58,BUY
2026-04-15T20:36:07.439124,73800,2875.08,SELL
2026-04-15T20:36:12.622698,73800,294.85,SELL
2026-04-15T20:36:18.188059,73800,221.1,SELL
2026-04-15T20:38:07.664861,73600,147.27,SELL
2026-04-15T20:42:53.147115,73800,147.43,SELL
2026-04-15T20:44:45.293734,74400,9825.02,BUY
2026-04-15T20:44:46.479341,74400,74.45,BUY
2026-04-15T20:44:49.254085,74400,148.93,BUY
2026-04-15T20:44:54.491406,74400,1117.26,BUY
2026-04-15T20:45:00.115303,74600,1341.72,BUY
2026-04-15T20:45:01.527011,74600,81974.75,BUY
2026-04-15T20:48:26.278387,73800,10263.89,SELL
2026-04-15T20:48:28.199347,73800,147.68,SELL
2026-04-15T20:54:09.220628,73600,4863.39,SELL
2026-04-15T20:54:16.667717,73600,1252.33,SELL
2026-04-15T20:56:52.441017,74200,48581.8,BUY
2026-04-15T20:59:33.174098,73600,12742.04,SELL
2026-04-15T21:00:19.727641,73600,662.65,SELL
2026-04-15T21:00:23.335369,73600,3827.3,SELL
2026-04-15T21:00:40.246382,73600,1912.45,SELL
2026-04-15T21:00:41.452892,73600,14858.25,SELL
2026-04-15T21:00:49.257356,73600,11032.65,SELL
2026-04-15T21:00:50.437442,73600,31169.72,SELL
2026-04-15T21:00:51.428512,73400,149030.62,SELL
2026-04-15T21:00:53.111650,73400,45900.75,SELL
2026-04-15T21:00:54.199036,73400,21579.22,SELL
2026-04-15T21:00:55.526673,73400,734.07,SELL
2026-04-15T21:01:01.059368,73400,7560.05,SELL
2026-04-15T21:01:02.344304,73400,1174.1,SELL
2026-04-15T21:01:02.836709,73400,3595.67,SELL
2026-04-15T21:01:04.492088,73400,4182.23,SELL
2026-04-15T21:01:19.251859,73400,8584.16,SELL
2026-04-15T21:01:20.263850,73400,27950.88,SELL
2026-04-15T21:01:23.510387,73400,15331.45,SELL
2026-04-15T21:01:24.692843,73400,22003.77,SELL
2026-04-15T21:01:25.775574,73400,66006.81,SELL
2026-04-15T21:01:27.089835,73400,36808.25,SELL
2026-04-15T21:01:28.341321,73400,45304.84,SELL
2026-04-15T21:01:31.590891,73200,5056.82,SELL
2026-04-15T21:01:36.279819,73200,11943.35,SELL
2026-04-15T21:01:37.473046,73200,295849.68,SELL
2026-04-15T21:01:38.635184,73200,219.8,SELL
2026-04-15T21:01:40.113522,73200,4908.73,SELL
2026-04-15T21:01:41.292216,73200,6373.75,SELL
2026-04-15T21:02:01.565825,73400,1760.79,SELL
2026-04-15T21:04:21.647603,74000,369.78,BUY
2026-04-15T21:05:47.098496,73400,2716.34,SELL
2026-04-15T21:11:39.093307,74200,1482.26,BUY
2026-04-15T21:11:47.686715,74200,74.14,BUY
2026-04-15T21:13:16.587750,74200,74.15,BUY
2026-04-15T21:16:48.973294,74200,816.04,BUY
2026-04-15T21:18:10.280393,74200,444.91,BUY
2026-04-15T21:21:09.472975,74200,1781.8,BUY
2026-04-15T21:25:32.320243,73400,5213.2,SELL
2026-04-15T21:25:35.332976,73400,2496.29,SELL
2026-04-15T21:25:36.515685,73400,440.46,SELL
2026-04-15T21:26:09.297382,73400,7341.15,SELL
2026-04-15T21:28:00.279369,73600,220.6,SELL
2026-04-15T21:30:12.588233,73600,2132.6,SELL
2026-04-15T21:30:31.764543,74000,887.98,BUY
2026-04-15T21:32:11.303440,74200,13950.01,BUY
2026-04-15T21:32:14.426553,74200,1484.28,BUY
2026-04-15T21:32:26.732731,74200,21737.55,BUY
2026-04-15T21:41:23.429167,74200,17003.89,BUY
2026-04-15T21:41:26.290361,74200,1336.75,BUY
2026-04-15T21:45:04.384858,74200,519.9,BUY
2026-04-15T21:45:18.664437,74400,52906.66,BUY
2026-04-15T21:45:20.637330,74400,7654.64,BUY
2026-04-15T21:45:23.531662,74400,668.99,BUY
2026-04-15T21:45:25.329639,74400,148.67,BUY
2026-04-15T21:49:40.274735,73800,147.48,SELL
2026-04-15T21:50:51.189940,74400,743.72,BUY
2026-04-15T21:50:53.512691,74400,4165.43,BUY
2026-04-15T21:50:54.470279,74400,193399.18,BUY
2026-04-15T21:51:24.604033,74400,1785.6,BUY
2026-04-15T21:51:30.380942,74400,446.46,BUY
2026-04-15T21:56:46.963592,74400,594.76,BUY
2026-04-15T21:59:17.774624,73800,147.53,SELL
2026-04-15T22:00:43.591264,74400,371.56,BUY
2026-04-15T22:08:00.657534,74400,2976.42,BUY
2026-04-15T22:08:11.821092,74400,4538.7,BUY
2026-04-15T22:10:32.667231,73600,736.04,SELL
2026-04-15T22:11:13.243222,73600,10300.16,SELL
2026-04-15T22:11:40.160971,73600,4414.08,SELL
2026-04-15T22:11:44.389076,73600,3235.62,SELL
2026-04-15T22:15:58.211965,73600,588.96,SELL
2026-04-15T22:17:37.271612,73600,18087.99,SELL
2026-04-15T22:23:22.196701,74200,963.58,BUY
2026-04-15T22:24:43.672053,73400,2572.01,SELL
2026-04-15T22:25:06.808237,74200,2964.28,BUY
2026-04-15T22:30:06.236505,74200,1781.5,BUY
2026-04-15T22:30:07.286221,73600,2208.96,SELL
2026-04-15T22:31:29.479026,74200,2970.39,BUY
2026-04-15T22:33:47.616195,74400,2823.5,BUY
2026-04-15T22:34:12.294355,73800,2432.21,SELL
2026-04-15T22:34:56.519619,74400,520.16,BUY
2026-04-15T22:35:10.318809,74400,11225.11,BUY
2026-04-15T22:35:29.700702,74400,892.13,BUY
2026-04-15T22:37:48.048576,74400,9220.54,BUY
2026-04-15T22:43:07.945958,74200,14852.5,BUY
2026-04-15T22:55:22.150389,74400,297.27,BUY
2026-04-15T22:56:18.082300,74400,148.73,BUY
2026-04-15T22:56:19.293245,74400,223.12,BUY
2026-04-15T22:56:22.681206,74400,2305.84,BUY
2026-04-15T22:56:24.765620,74400,892.69,BUY
2026-04-15T22:57:32.060361,74400,1041.52,BUY
2026-04-15T22:57:47.121517,74400,37212.65,BUY
2026-04-15T22:57:48.471841,74400,2754.09,BUY
2026-04-15T22:57:49.514814,74400,109736.06,BUY
2026-04-15T22:57:50.522107,74400,74.46,BUY
2026-04-15T22:57:56.100630,74400,5957.3,BUY
2026-04-15T22:58:11.114121,74400,7372.43,BUY
2026-04-15T22:58:20.487386,74400,744.72,BUY
2026-04-15T22:58:22.255152,74400,26067.23,BUY
2026-04-15T22:59:34.533385,74400,12565.05,BUY
2026-04-15T23:03:23.088275,74400,446.12,BUY
2026-04-15T23:04:56.720791,74400,222.98,BUY
2026-04-15T23:12:00.331276,73600,221.04,SELL
2026-04-15T23:24:12.397464,74400,744.12,BUY
2026-04-15T23:32:21.377378,74400,372.15,BUY
2026-04-15T23:32:26.473271,74400,446.75,BUY
2026-04-15T23:32:35.040826,74600,11325.25,BUY
2026-04-15T23:34:05.213525,74600,36515.0,BUY
2026-04-15T23:34:06.370682,74600,1490.53,BUY
2026-04-15T23:35:15.328416,74600,1938.07,BUY
