symbol,sumOpenInterest,sumOpenInterestValue,CMCCirculatingSupply,timestamp
BTCUSDT,89165.947,6047884759.16261200,20009321.00000000,2026-03-31 20:00:00
BTCUSDT,89212.452,6087857724.48000000,20009321.00000000,2026-04-01 00:00:00
BTCUSDT,90147.709,6142168516.69397700,20009768.00000000,2026-04-01 04:00:00
BTCUSDT,91248.887,6265924196.95950000,20009768.00000000,2026-04-01 08:00:00
BTCUSDT,91252.048,6266469765.46080000,20009768.00000000,2026-04-01 12:00:00
BTCUSDT,90660.001,6244851254.88210000,20009768.00000000,2026-04-01 16:00:00
BTCUSDT,89762.351,6116738717.83870000,20009768.00000000,2026-04-01 20:00:00
BTCUSDT,89176.967,6071747563.64550000,20009768.00000000,2026-04-02 00:00:00
BTCUSDT,88498.171,5889389234.69229600,20010281.00000000,2026-04-02 04:00:00
BTCUSDT,88010.917,5886893782.14289600,20010281.00000000,2026-04-02 08:00:00
BTCUSDT,88721.21,5872066343.63352000,20010281.00000000,2026-04-02 12:00:00
BTCUSDT,90567.533,6051910443.31402300,20010281.00000000,2026-04-02 16:00:00
BTCUSDT,90256.231,6041551027.27777400,20010281.00000000,2026-04-02 20:00:00
BTCUSDT,90119.344,6026348660.50038600,20010281.00000000,2026-04-03 00:00:00
BTCUSDT,90854.841,6046817643.88819300,20010721.00000000,2026-04-03 04:00:00
BTCUSDT,90159.279,6041456078.72730000,20010721.00000000,2026-04-03 08:00:00
BTCUSDT,90069.502,6033170487.21700000,20010721.00000000,2026-04-03 12:00:00
BTCUSDT,90476.568,6044774025.50140900,20010721.00000000,2026-04-03 16:00:00
BTCUSDT,90245.532,6033554557.47720000,20010721.00000000,2026-04-03 20:00:00
BTCUSDT,90276.766,6042223948.38000000,20010721.00000000,2026-04-04 00:00:00
BTCUSDT,90396.916,6039053838.42934600,20011134.00000000,2026-04-04 04:00:00
BTCUSDT,90175.644,6040365990.62031200,20011134.00000000,2026-04-04 08:00:00
BTCUSDT,90483.649,6074067825.35610000,20011134.00000000,2026-04-04 12:00:00
BTCUSDT,91724.811,6178335611.97030000,20011134.00000000,2026-04-04 16:00:00
BTCUSDT,91896.585,6181212427.87950000,20011134.00000000,2026-04-04 20:00:00
BTCUSDT,91402.972,6148641365.25120000,20011134.00000000,2026-04-05 00:00:00
BTCUSDT,91326.964,6129111069.49066200,20011503.00000000,2026-04-05 04:00:00
BTCUSDT,89846.134,6000598674.52500000,20011503.00000000,2026-04-05 08:00:00
BTCUSDT,89969.389,6025690831.33610000,20011503.00000000,2026-04-05 12:00:00
BTCUSDT,89758.696,6038902823.77688500,20011503.00000000,2026-04-05 16:00:00
BTCUSDT,90199.031,6073047058.74051200,20011503.00000000,2026-04-05 20:00:00
BTCUSDT,91034.347,6280741806.00570000,20011503.00000000,2026-04-06 00:00:00
BTCUSDT,92698.032,6404720236.35360000,20012000.00000000,2026-04-06 04:00:00
BTCUSDT,94186.889,6507145116.00642900,20012000.00000000,2026-04-06 08:00:00
BTCUSDT,94755.767,6593437913.04450000,20012000.00000000,2026-04-06 12:00:00
BTCUSDT,94068.972,6577797931.70986000,20012000.00000000,2026-04-06 16:00:00
BTCUSDT,94817.613,6610084834.10879200,20012000.00000000,2026-04-06 20:00:00
BTCUSDT,91588.306,6303299554.36260000,20012000.00000000,2026-04-07 00:00:00
BTCUSDT,91176.492,6268223320.01786600,20012409.00000000,2026-04-07 04:00:00
BTCUSDT,91063.573,6246485866.53563200,20012409.00000000,2026-04-07 08:00:00
BTCUSDT,91057.853,6220421852.44766900,20012409.00000000,2026-04-07 12:00:00
BTCUSDT,89372.132,6089793455.62764200,20012409.00000000,2026-04-07 16:00:00
BTCUSDT,88720.445,6121311462.99750000,20012409.00000000,2026-04-07 20:00:00
BTCUSDT,87992.192,6328106335.60413300,20012409.00000000,2026-04-08 00:00:00
BTCUSDT,87928.604,6265797582.91451900,20012821.00000000,2026-04-08 04:00:00
BTCUSDT,88623.245,6346496683.26450000,20012821.00000000,2026-04-08 08:00:00
BTCUSDT,89599.621,6419355886.58290000,20012821.00000000,2026-04-08 12:00:00
BTCUSDT,92272.922,6576734060.96560000,20012821.00000000,2026-04-08 16:00:00
BTCUSDT,91318.404,6509438265.69932900,20012821.00000000,2026-04-08 20:00:00
BTCUSDT,90980.258,6463611364.81540200,20012821.00000000,2026-04-09 00:00:00
BTCUSDT,91644.504,6503631333.49719900,20013287.00000000,2026-04-09 04:00:00
BTCUSDT,91389.492,6483627509.94000000,20013287.00000000,2026-04-09 08:00:00
BTCUSDT,91449.096,6502952867.03865100,20013287.00000000,2026-04-09 12:00:00
BTCUSDT,92216.207,6649369486.80410000,20013287.00000000,2026-04-09 16:00:00
BTCUSDT,93219.416,6718509749.95200000,20013287.00000000,2026-04-09 20:00:00
BTCUSDT,92972.174,6671269465.24407600,20013287.00000000,2026-04-10 00:00:00
BTCUSDT,94332.326,6776673475.52793500,20013743.00000000,2026-04-10 04:00:00
BTCUSDT,93872.206,6708211100.18660000,20013743.00000000,2026-04-10 08:00:00
BTCUSDT,93176.342,6717054541.87740000,20013743.00000000,2026-04-10 12:00:00
BTCUSDT,96927.703,7018690058.55480000,20013743.00000000,2026-04-10 16:00:00
BTCUSDT,96605.028,7071271350.52123000,20013743.00000000,2026-04-10 20:00:00
BTCUSDT,97125.236,7082119683.50640000,20013743.00000000,2026-04-11 00:00:00
BTCUSDT,96556.688,7032716026.14880000,20014121.00000000,2026-04-11 04:00:00
BTCUSDT,96820.044,7039562713.13880000,20014121.00000000,2026-04-11 08:00:00
BTCUSDT,96799.409,7053598694.89380000,20014121.00000000,2026-04-11 12:00:00
BTCUSDT,97568.213,7104806723.75353800,20014121.00000000,2026-04-11 16:00:00
BTCUSDT,98391.904,7245833299.48877000,20014121.00000000,2026-04-11 20:00:00
BTCUSDT,98725.848,7207692418.94128200,20014121.00000000,2026-04-12 00:00:00
BTCUSDT,96137.029,6879921502.24730000,20014525.00000000,2026-04-12 04:00:00
BTCUSDT,95138.612,6815028863.19008100,20014525.00000000,2026-04-12 08:00:00
BTCUSDT,94897.217,6779452297.64575500,20014525.00000000,2026-04-12 12:00:00
BTCUSDT,92002.395,6518940100.59900000,20014525.00000000,2026-04-12 16:00:00
